epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5084,1.83663,2.60123,1.11151,0.7202,0.57166,0.39519,0.23307,1.52882,1.38748,0.99095,0.000236512,0.000236512,0.000236512
2,51.759,1.38089,1.15193,0.95876,0.76281,0.66001,0.69833,0.40023,1.33287,0.78866,0.93679,0.000469815,0.000469815,0.000469815
3,72.1966,1.29965,0.87706,0.93496,0.8473,0.76481,0.80921,0.45195,1.28784,0.6631,0.9169,0.000698405,0.000698405,0.000698405
4,90.5109,1.22567,0.77069,0.92286,0.85747,0.83404,0.87954,0.52653,1.16672,0.59008,0.90911,0.000692794,0.000692794,0.000692794
5,108.203,1.18865,0.70583,0.91573,0.84944,0.90066,0.89222,0.52765,1.15812,0.58089,0.90873,0.000685726,0.000685726,0.000685726
6,127.241,1.14299,0.64566,0.90559,0.83641,0.86103,0.86651,0.51796,1.13337,0.5759,0.89318,0.000678657,0.000678657,0.000678657
7,145.613,1.10518,0.61668,0.90262,0.86926,0.88731,0.90087,0.53551,1.10043,0.53262,0.89751,0.000671588,0.000671588,0.000671588
8,164.266,1.07639,0.58475,0.89345,0.87062,0.90018,0.90413,0.51735,1.11572,0.54513,0.89321,0.00066452,0.00066452,0.00066452
9,183.542,1.06111,0.56267,0.88972,0.88081,0.86406,0.89347,0.55388,1.0467,0.49944,0.88009,0.000657451,0.000657451,0.000657451
10,201.194,1.00482,0.52933,0.87914,0.89066,0.8992,0.91337,0.56906,1.04085,0.48672,0.8846,0.000650383,0.000650383,0.000650383
11,218.84,0.98062,0.51652,0.87919,0.89079,0.90277,0.89801,0.53984,1.02487,0.47465,0.8717,0.000643314,0.000643314,0.000643314
12,237.903,0.96652,0.49585,0.8746,0.91837,0.85221,0.91554,0.58581,0.96331,0.45768,0.87079,0.000636245,0.000636245,0.000636245
13,258.229,0.97659,0.49724,0.87156,0.88901,0.93378,0.93215,0.58841,0.96074,0.4536,0.86413,0.000629177,0.000629177,0.000629177
14,276.762,0.91664,0.46553,0.86374,0.90264,0.90263,0.9177,0.57871,0.93892,0.43385,0.86016,0.000622108,0.000622108,0.000622108
15,295.731,0.9004,0.45988,0.86261,0.90901,0.93602,0.93951,0.59457,0.93654,0.42602,0.86402,0.00061504,0.00061504,0.00061504
16,317.251,0.88897,0.45371,0.86055,0.94153,0.91441,0.92854,0.61754,0.86332,0.42008,0.84691,0.000607971,0.000607971,0.000607971
17,336.184,0.86576,0.43902,0.85738,0.89374,0.92151,0.929,0.63263,0.82395,0.3954,0.84473,0.000600902,0.000600902,0.000600902
18,354.717,0.84991,0.43391,0.85447,0.91243,0.93377,0.93958,0.62886,0.82108,0.39429,0.84338,0.000593834,0.000593834,0.000593834
19,374.665,0.83923,0.42562,0.8528,0.90599,0.89949,0.92217,0.62487,0.83419,0.39438,0.84477,0.000586765,0.000586765,0.000586765
20,393.27,0.82344,0.42259,0.84956,0.90423,0.9382,0.94889,0.64855,0.80025,0.38742,0.83735,0.000579697,0.000579697,0.000579697
21,413.523,0.80818,0.41104,0.84701,0.87726,0.93321,0.93496,0.63969,0.81416,0.39629,0.84162,0.000572628,0.000572628,0.000572628
22,433.282,0.79816,0.40753,0.84325,0.93056,0.94002,0.95084,0.66124,0.78931,0.37262,0.83546,0.000565559,0.000565559,0.000565559
23,453.267,0.77794,0.39682,0.8422,0.91413,0.91778,0.92981,0.65779,0.76175,0.3743,0.83269,0.000558491,0.000558491,0.000558491
24,471.184,0.77904,0.3989,0.8395,0.91428,0.9225,0.94502,0.67142,0.76497,0.374,0.83422,0.000551422,0.000551422,0.000551422
25,488.67,0.76579,0.3874,0.83786,0.8852,0.94208,0.93684,0.67199,0.76088,0.36564,0.82949,0.000544354,0.000544354,0.000544354
26,505.947,0.75769,0.38618,0.83939,0.92892,0.92075,0.94643,0.67413,0.78074,0.37286,0.83205,0.000537285,0.000537285,0.000537285
27,523.204,0.73761,0.37734,0.83435,0.91711,0.93048,0.94652,0.67481,0.76207,0.36205,0.83227,0.000530216,0.000530216,0.000530216
28,540.554,0.74575,0.37595,0.83609,0.95236,0.90541,0.94727,0.67796,0.72815,0.35148,0.82602,0.000523148,0.000523148,0.000523148
29,558.962,0.73373,0.37188,0.83509,0.898,0.94568,0.94411,0.68045,0.70816,0.34759,0.82274,0.000516079,0.000516079,0.000516079
30,576.061,0.72087,0.36747,0.83306,0.90874,0.93389,0.94435,0.69193,0.69419,0.35145,0.82034,0.000509011,0.000509011,0.000509011
31,593.287,0.70317,0.36089,0.82932,0.89694,0.95358,0.94958,0.67747,0.68347,0.3473,0.82169,0.000501942,0.000501942,0.000501942
32,610.74,0.70583,0.36094,0.83121,0.94858,0.89994,0.942,0.69772,0.66703,0.34467,0.81853,0.000494873,0.000494873,0.000494873
33,627.984,0.69835,0.35781,0.83052,0.89528,0.95538,0.94503,0.69141,0.6713,0.34422,0.81939,0.000487805,0.000487805,0.000487805
34,645.745,0.70939,0.35786,0.82987,0.92249,0.9216,0.94498,0.69136,0.67689,0.34908,0.81785,0.000480736,0.000480736,0.000480736
35,663.719,0.69222,0.34792,0.82902,0.89029,0.92997,0.93912,0.69579,0.66082,0.32711,0.81617,0.000473668,0.000473668,0.000473668
36,681.252,0.68667,0.34845,0.82804,0.92771,0.92438,0.95186,0.67908,0.71346,0.34104,0.82396,0.000466599,0.000466599,0.000466599
37,698.715,0.68317,0.34657,0.83116,0.91382,0.92622,0.94235,0.69949,0.67711,0.33897,0.81949,0.00045953,0.00045953,0.00045953
38,716.255,0.65651,0.3391,0.82384,0.91785,0.92844,0.94882,0.68127,0.68122,0.32438,0.82131,0.000452462,0.000452462,0.000452462
39,733.815,0.67418,0.34114,0.82611,0.93549,0.93109,0.94766,0.71909,0.64781,0.31229,0.81571,0.000445393,0.000445393,0.000445393
40,751.796,0.64985,0.33487,0.82283,0.92441,0.94397,0.94929,0.69523,0.65948,0.32537,0.81624,0.000438325,0.000438325,0.000438325
41,770.478,0.65587,0.33793,0.82416,0.91964,0.94622,0.95167,0.69975,0.6653,0.32652,0.81584,0.000431256,0.000431256,0.000431256
42,789.074,0.6562,0.33323,0.82543,0.91875,0.94984,0.95509,0.71614,0.63014,0.32114,0.81253,0.000424187,0.000424187,0.000424187
43,807.638,0.65682,0.33202,0.82354,0.89774,0.94221,0.936,0.71276,0.63419,0.31789,0.81436,0.000417119,0.000417119,0.000417119
