epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.80927,1.67719,2.90085,1.93869,0.00333,1,0.28419,0.09904,1.65049,2.80565,2.5783,6e-05,6e-05,6e-05
2,4.9167,1.56361,2.8344,1.82186,0.00333,1,0.29959,0.11399,1.58577,2.84129,2.53234,0.000138614,0.000138614,0.000138614
3,5.95431,0.84927,2.35167,1.3109,0.00333,1,0.995,0.97642,0.18518,2.44406,0.87528,0.000215644,0.000215644,0.000215644
4,6.89638,0.29864,1.25807,0.91741,0.01117,1,0.995,0.91293,0.33439,2.20706,0.99127,0.00029109,0.00029109,0.00029109
5,7.96895,0.294,0.8229,0.89997,0.97344,1,0.995,0.93481,0.31234,1.77989,0.94224,0.000364952,0.000364952,0.000364952
6,8.95874,0.26047,0.75423,0.86955,0.85898,1,0.995,0.91868,0.30061,1.95465,0.93732,0.00043723,0.00043723,0.00043723
7,9.82491,0.2638,0.72875,0.88539,0.99477,1,0.995,0.92454,0.36793,1.12312,1.00604,0.000507924,0.000507924,0.000507924
8,11.1966,0.24226,0.6928,0.87812,0.99547,1,0.995,0.96183,0.25458,1.12873,0.8821,0.000577034,0.000577034,0.000577034
9,12.9291,0.22889,0.68415,0.86229,0.99563,1,0.995,0.93481,0.30246,1.03164,0.90906,0.00064456,0.00064456,0.00064456
10,14.2562,0.24123,0.6653,0.87324,0.99543,1,0.995,0.96843,0.2919,1.02541,0.89254,0.000710502,0.000710502,0.000710502
11,15.5738,0.25664,0.63912,0.86273,0.9557,0.93333,0.99125,0.9814,0.26947,1.27974,0.8877,0.00077486,0.00077486,0.00077486
12,16.613,0.25755,0.61721,0.86442,0.99619,1,0.995,0.96631,0.30184,0.91536,0.93152,0.000837634,0.000837634,0.000837634
13,17.4786,0.24426,0.60098,0.86047,0.99191,1,0.995,0.94943,0.31382,0.86444,0.9606,0.000898824,0.000898824,0.000898824
14,18.4208,0.23964,0.59328,0.85919,0.98369,1,0.995,0.94943,0.30898,0.90107,1.00769,0.00095843,0.00095843,0.00095843
15,19.4406,0.2251,0.55266,0.83721,0.9893,1,0.995,0.97935,0.29442,1.2782,0.90776,0.00101645,0.00101645,0.00101645
16,20.363,0.22337,0.57905,0.85197,0.9949,1,0.995,0.97049,0.26222,0.90753,0.9696,0.00107289,0.00107289,0.00107289
17,21.2823,0.24055,0.575,0.86355,0.99556,1,0.995,0.94089,0.32944,0.91208,1.01337,0.00112774,0.00112774,0.00112774
18,22.3398,0.22423,0.50339,0.87179,0.9921,1,0.995,0.98901,0.2252,1.42401,0.88995,0.00118101,0.00118101,0.00118101
