epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67398,0.18355,0.32954,0.84618,0.98844,1,0.995,0.995,0.17556,0.38625,0.82487,6e-05,6e-05,6e-05
2,3.72614,0.15247,0.28918,0.84306,0.99552,1,0.995,0.995,0.14489,0.31064,0.81298,0.000137228,0.000137228,0.000137228
3,4.74112,0.15386,0.31912,0.83257,0.94039,1,0.995,0.995,0.14433,0.29929,0.81041,0.000211288,0.000211288,0.000211288
4,5.66741,0.16478,0.31853,0.84997,0.94234,1,0.995,0.98212,0.16271,0.32103,0.82241,0.00028218,0.00028218,0.00028218
5,6.31806,0.16312,0.29509,0.85051,0.9359,1,0.995,0.995,0.15951,0.27731,0.81646,0.000349904,0.000349904,0.000349904
6,7.09996,0.17507,0.3012,0.84157,0.98088,1,0.995,0.995,0.13444,0.27012,0.80879,0.00041446,0.00041446,0.00041446
7,7.86594,0.18185,0.30616,0.85403,0.99486,1,0.995,0.995,0.13791,0.28282,0.81203,0.000475848,0.000475848,0.000475848
8,8.53826,0.16276,0.31248,0.85147,0.99027,1,0.995,0.995,0.17748,0.28468,0.8255,0.000534068,0.000534068,0.000534068
9,9.29333,0.18612,0.30949,0.84668,0.9771,1,0.995,0.995,0.18442,0.57541,0.8278,0.00058912,0.00058912,0.00058912
10,10.0501,0.17271,0.33215,0.85406,0.99523,1,0.995,0.995,0.17482,0.29449,0.82629,0.000641004,0.000641004,0.000641004
11,10.8019,0.20735,0.33344,0.85013,0.99506,1,0.995,0.995,0.15983,0.35364,0.81936,0.00068972,0.00068972,0.00068972
12,11.6043,0.18628,0.32255,0.84922,0.99666,1,0.995,0.995,0.13432,0.28882,0.81305,0.000735268,0.000735268,0.000735268
13,12.3666,0.17832,0.30261,0.84827,0.99626,1,0.995,0.995,0.14675,0.30938,0.83108,0.000777648,0.000777648,0.000777648
14,13.1201,0.18934,0.32194,0.84773,0.99663,1,0.995,0.995,0.17444,0.29045,0.83849,0.00081686,0.00081686,0.00081686
15,13.7961,0.17916,0.29525,0.82591,0.99636,1,0.995,0.995,0.18618,0.29034,0.82467,0.000852904,0.000852904,0.000852904
16,14.5143,0.18769,0.33131,0.84397,0.99598,1,0.995,0.995,0.16703,0.29376,0.81855,0.00088578,0.00088578,0.00088578
17,15.242,0.19321,0.33386,0.84849,0.99446,1,0.995,0.995,0.15115,0.27513,0.81878,0.000915488,0.000915488,0.000915488
18,15.9512,0.16454,0.28792,0.8593,0.99673,1,0.995,0.9877,0.21107,0.29486,0.86105,0.000942028,0.000942028,0.000942028
19,16.6448,0.17261,0.32534,0.85604,0.99706,1,0.995,0.995,0.22318,0.34035,0.86044,0.0009654,0.0009654,0.0009654
20,17.4074,0.17211,0.27882,0.85728,0.99667,1,0.995,0.995,0.21579,0.32059,0.84951,0.000985604,0.000985604,0.000985604
21,18.168,0.16973,0.27956,0.84669,0.9966,1,0.995,0.995,0.22096,0.28806,0.85225,0.00100264,0.00100264,0.00100264
